GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
311550000W2,31,155,0000W2,268.58468695726503,168.00382305477999,27.15790475019011,283.5959658679929,182.13353052815043,283.61852368944864,162.99254414405212,360.0302039310157,356.9963671988321,260.59032641262894,178.0207414208718
311550000W3,31,155,0000W3,383.81826019789264,182.51546869345995,23.102027651490957,390.7679679069967,200.68995080863144,370.76349130649993,173.4985833572992,455.8354319206397,455.8654388864359,362.5583829578751,181.62439544794174
311550000W5,31,155,0000W5,407.6698523589076,172.0140630993244,25.85210186756966,403.6929833349611,203.8317196189943,400.70958787677426,160.08249019602138,457.3842501013952,464.3443986837529,362.92629943848704,184.93995950007505
3115500010P,31,155,00010P,721.1480820695807,229.7493309545049,33.08920606601249,719.1338090990188,261.8599464763604,707.1694915254237,236.70294380017842,793.4442462087422,789.4620874219447,648.9732381801963,281.9313113291704
3115500011P,31,155,00011P,271,91,17,271,110,264,84,295,301,258,102
3115500012P,31,155,00012P,337.68991950478016,71.94103503621604,17.983060615868023,344.68209198829913,85.92977628962596,330.69301255901445,67.94637749788318,341.6896496812345,345.6843072195674,318.7053200093934,76.93723145406764
3115500014P,31,155,00014P,386,198,20,388,213,384,187,467,462,368,185
3115500015P,31,155,00015P,476.30755232029117,271.06551410373066,25.016378525932666,488.31392174704274,282.0782529572339,493.3011828935396,233.06187443130116,586.3111919927206,578.3148316651501,462.2902638762511,248.0700636942675
3115500018P,31,155,00018P,466.80310611790713,175.91403603430723,22.99012713812736,451.8252833287436,213.87976792899306,467.7984336702334,166.92592281994186,547.7568991405747,545.7569282989808,429.82471685816927,194.9011162435998
3115700001P,31,157,00001P,114.00000068474749,25.000000101540504,4.000000031243232,114.00000066131507,23.000000161423365,121.00000070817993,21.0000000989369,128.00000073161235,126.00000073421594,107.0000006769367,29.000000109351312
3115700002P,31,157,00002P,78,16,1,72,23,79,17,84,84,79,18
