GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRSAS,G20USSDJAN,G20USSLSIA
31055007-29,31,055,007-29,554.4295723723146,672.5107811991404,25.177182894892585,627.9094427126487,409.79801321517874,79.4577224784725
31055007-30,31,055,007-30,599.8728051642723,611.0365009049137,23.955197952387014,665.3924102208991,378.50541352748627,61.91294389391036
31055007-31,31,055,007-31,588.1528378914387,511.53553865244885,16.121409743003586,665.8555748480426,254.8544211792197,56.862052540991115
31055007-32,31,055,007-32,662.2896131056578,633.2418230571641,30.984309385060016,778.4807732996329,322.4304695382808,59.06383976527066
31055007-33,31,055,007-33,463.94392076629146,404.1570829362588,13.85631309171193,536.7959216364233,192.73215447427984,40.154573156043284
31055007-34,31,055,007-34,632.3475886963479,563.4672222235265,25.234030045530062,782.0779431078051,248.102517263361,49.09256375088442
31055008-01,31,055,008-01,337.0804911258709,377.849084736357,12.655081646916704,370.7149290954159,233.02409436801048,53.761104801923075
31055008-02,31,055,008-02,208,250.99999999999997,9,227,166,34.99999999999999
31055008-03,31,055,008-03,240.08207882320085,247.10863373658935,9.005013864765662,263.0900638670869,152.0727938884496,23.017455677332304
31055008-04,31,055,008-04,353,299,19,386,180.00000000000003,42
31055008-05,31,055,008-05,222.28638612566004,239.40480948363802,2.8865734228863285,259.15416377875835,130.72528345670645,16.600010632311697
31055008-06,31,055,008-06,211,212.99999999999997,19,243,126,35
31055008-07,31,055,008-07,303.0998128872495,219.50139983834336,12.405157590509296,315.2267917666719,128.9452846762295,29.555641185574615
31055008-08,31,055,008-08,259.0090628418554,170.33417886524865,6.9006813370491535,284.55047670589187,75.4598125579816,12.986774067707836
31055008-09,31,055,008-09,453.1509683616485,258.15143646810185,6.802881610108103,467.6990491630875,137.4071677384658,32.983075931261446
31055008-10,31,055,008-10,98.04559050822576,69.25375529445076,2.5137809156068074,105.10594686596747,36.60263134098961,8.136876919640596
31055008-11,31,055,008-11,392.02873360992095,634.8415283789004,14.895166863647836,417.0362940412232,446.3701089886001,62.01218241337499
31055008-12,31,055,008-12,717.3477178113102,914.2284773193057,45.808889588494,811.8894686641596,588.6929640734122,101.36435142985906
31055008-13,31,055,008-13,1162.3320158583747,467.98275926222806,26.372671137113148,1228.548318967468,258.6940201267719,83.46008558804417
31055008-14,31,055,008-14,625.9128885182032,310.095357820661,20.570785455896303,658.6377500952327,176.88615176638115,52.236374101972935
31055008-15,31,055,008-15,794.3251436812774,664.5398315073095,12.685782392944233,945.5787029817664,325.9270245571826,51.7189589866188
31055008-16,31,055,008-16,836.6040549533681,712.2554658644924,37.79747315121014,959.961637055226,402.87353700495476,84.55090167088113
31055008-17,31,055,008-17,717.277114214173,758.1584031642465,30.904466275760385,833.6889683262167,433.95952108004076,87.11679979696036
31055008-18,31,055,008-18,548.2560094235276,639.180913118111,25.325346451910757,638.3890354737316,390.55713849874246,49.82770506109704
31055008-19,31,055,008-19,608.2535674674555,560.6739692987712,14.980689777077233,670.7614563399044,338.04109480509766,64.92820895138901
31055008-20,31,055,008-20,738.9871817971108,676.4212334916194,27.405421094319145,838.3194250093869,406.68799545003765,65.1466641841991
31055008-23,31,055,008-23,468.5019254428774,523.412677034816,17.906754022296205,549.0008982321392,321.57771616545494,59.4428314408234
31055008-24,31,055,008-24,648.842644971383,456.77828312541243,19.903147927380815,736.4168254813476,230.876876577913,58.714338506675496
31055008-27,31,055,008-27,102.97319142034934,108.27777693964298,8.597192416053467,109.52574875819853,70.8610942436483,15.899269188362835
31055008-37,31,055,008-37,660.52455473918906,571.5317255078612,26.69784876939836,799.9466538682693,296.6427641044262,64.27259888929234
31055008-39,31,055,008-39,1485.5703774544518,791.2286536617707,39.98499438072647,1625.7303528560078,414.53634730676765,121.79258263960452
31055008-40,31,055,008-40,1229.9360119519954,548.1265842134337,31.96966179655067,1315.9793986640761,306.0542255393993,94.13024527497679
31055008-41,31,055,008-41,902.705445772589,419.43270293265084,21.97264024879055,927.7345535289656,229.80504664944286,74.88910755260468
31055008-42,31,055,008-42,796.279384262045,545.6218883145054,17.717766750232364,946.2519345254428,236.8824325189598,55.4665974573186
31055008-43,31,055,008-43,1038.2103341763504,818.3731914678958,23.268003100839383,1159.2832891635728,407.49789830193316,95.31812022765975
31055008-44,31,055,008-44,411.0398527346036,409.64401499828597,8.626152403356969,480.4285336178866,236.74150527471932,25.410886704917335
31055008-45,31,055,008-45,1018.1895886522,632.9694472308615,19.906604812891903,1188.5624280430627,284.28078444994935,70.41562320567809
31055008-46,31,055,008-46,774.1194053666344,688.6254879315566,35.76796695329043,844.7862814673992,420.6376530614012,89.48112400293833
