GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOKEN,G16PREOFUE,G16PREOMOO,G16PREOLAR
34021050015,34,021,050015,348.52886642431963,73.46880988893112,11.647494250684202,2.6878832886194313,0,0,0,0,0
34021050016,34,021,050016,411,70,12,2,0,0,0,0,0
34021050017,34,021,050017,364.67084762888334,69.98601794497546,14.868263606452373,6.20954470967416,0,0,0,0,0
34021050018,34,021,050018,405,34,11,12,0,0,0,1,1
34021050019,34,021,050019,227.3854381508302,18.831800578017337,7.903313629286445,3.9516568146432225,1.9750147555539024,0,0,0,0
34021050020,34,021,050020,466.0890564582945,79.02209796446488,8.002824551848892,3.0009969006525505,0,0,3.3230021751679413e-4,1.6615010875839706e-4,0
34021050021,34,021,050021,323,48,8,2,0,0,0,0,0
34021050022,34,021,050022,535.9109435417055,132.97790203553512,16.997175448151108,5.9990030993474495,0,0,1.9996676997824832,0.9998338498912416,0
34021055E01,34,021,055E01,613.4227911956998,19.85728367802188,2.97706446593736,4.962589088970758,4.074895375790709e-4,0.9923548219791201,0.9927623115166991,0.9923548219791201,0
34021055E02,34,021,055E02,510.56122649161574,30.084057789690494,1.020640675038403,3.0313413130316893,0.9977051409757632,0.007645178020879898,1.005350318996643,0.007645178020879898,0
34021055E03,34,021,055E03,255,44,2,2,1,0,1,0,0
34021055E04,34,021,055E04,542.4848685420114,22.072660415517557,2.0083838940981797,5.00698657841515,0,6.986578415149843e-4,2.000698657841515,2.00139731568303,0
34021055E05,34,021,055E05,519,105,2,6,0,1,0,1,0
34021055E06,34,021,055E06,352,16,1,2,0,0,0,0,0
34021055E08,34,021,055E08,570,89,3,5,0,0,1,1,0
34021055E09,34,021,055E09,542.9554055977147,97.99195165483619,12.998932362376229,0.9999178740289406,0,0.9999178740289406,1.9998357480578812,0,0.9999178740289406
34021055N01,34,021,055N01,403.16349352528806,30.0688457707271,5.002294859024237,2.0068845770727104,2.0022948590242367,0,1.0022948590242369,1,1
34021055N02,34,021,055N02,381.39915749341486,25.11519254999025,5.702466057366809e-5,2.1046430525803492,0.9894801525809332,0.06267029972752043,0.9895371772415069,0.0627273243880941,0.06267029972752043
34021055N03,34,021,055N03,798.0289996934166,25.19545294817789,1.7950079660116836,2.7281728900182722,0,0.8975039830058418,0.8975039830058418,0,0.03566094100074683
34021055N04,34,021,055N04,632,29,2,8,0,0,0,0,0
34021055N05,34,021,055N05,250.33797839572787,117.33418635530175,10.003187405656993,5.008024526695927,0.014406463440354322,0,0.9995498776562259,0.9964602462452408,0
34021055N06,34,021,055N06,540.6262856921809,41.656632465178774,2.0549668672760233,4.109933734552047,0,0.0587735392474635,0.02938676962373175,0,0
34021055N07,34,021,055N07,351.44764297199504,5.772319125512561,0,1.91174463151438,0,0.9496914439289532,0.01236174365647365,0.9373297002724795,0.9373297002724795
34021055N08,34,021,055N08,416.59447348767736,26.037154592979835,0,0.9643390589992532,0,0,0,0,0.9643390589992532
34021055N09,34,021,055N09,307.4734875504494,23.436338056363176,1.8724707744473326,3.744941548894665,0,1.8686641024758925,0.9343320512379463,0,0
34021055N10,34,021,055N10,403,5,0,1,0,0,0,0,0
34021055N11,34,021,055N11,372.4724017742446,11.99724302953545,0,2.9745614853036297,0.005823358136525397,0.9876382563435263,0.9934616144800518,0,0
34021055N12,34,021,055N12,340.5332865477419,38.10505805652226,0.9999429753394263,6.008235851526483,0.004288999744962326,0,1.0042319750843887,0.9999429753394263,0
34021055S01,34,021,055S01,258,49,0,2,0,0,0,0,0
34021055S02,34,021,055S02,248,21,2,6,1,2,1,0,3
34021055S03,34,021,055S03,326,70,2,3,0,0,0,0,0
34021055S04,34,021,055S04,280,77,1,6,0,0,3,1,0
34021055S05,34,021,055S05,328.6614271455873,59.60160452635504,1.1434272710168694,4.143427271016869,0,0,0,1.0239045451694782,0
34021055S06,34,021,055S06,315,55,2,1,0,0,0,0,0
34021055S07,34,021,055S07,435.3385728544127,65.39839547364497,5.856572728983131,5.856572728983131,0,0,0,0.9760954548305218,0
34021055S08,34,021,055S08,426,110,8,5,1,0,0,0,0
34021055S09,34,021,055S09,435.77083647147396,67.87234970918453,8.645878475840247,10.659148757155064,2.0527258719461896,1.0663448204944679,0.13805001887499962,3.2156323936408415,0.04685700139747402
34021055W01,34,021,055W01,703.030303030303,24.371717171717172,1.8747474747474746,8.436363636363636,0,0,0.9373737373737373,0.9373737373737373,0.9373737373737373
34021055W02,34,021,055W02,443,7,0,3,0,0,0,0,0
34021055W03,34,021,055W03,399.0029789544934,76.31556652476046,6.004019955729433,4.024119734376596,0,0.008039911458865233,0.004019955729432616,0.004019955729432616,0
34021055W04,34,021,055W04,434,17,1,7,1,0,0,0,0
34021055W05,34,021,055W05,409,24,3,6,3,0,0,3,0
34021055W06,34,021,055W06,308,1,0,0,0,0,1,0,0
