GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35001000063,35,001,000063,58.74770505226043,204.32473088932687,21.615471551719754,2.361765937467827,0.0803351152044088,0.08085095330038387,2.1197289156626504,1,56.47278444148401,223.32969358652593,97.8460232876379,174.47289653485768,61.43493815531369,205.56522039684413
35001000064,35,001,000064,43.00205332961303,131.00599734886973,24.000691219869733,2.000101649980843,3,0,0,0,46.00223629957854,151.00615998883907,68.0028461994636,124.00548909896551,46.00215497959387,141.00609899885058
35001000065,35,001,000065,133.4332723948812,282.84095063985376,32.888482632541134,3.7586837294332724,0,0,3.7586837294332724,0,124.97623400365632,305.3930530164534,171.95978062157224,240.55575868372944,142.82998171846435,278.14259597806216
35001000066,35,001,000066,137,290,52,2,0,1,1,1,144,328,216,255,157,305
35001000067,35,001,000067,89.28840361445783,365.79442771084337,38.403614457831324,8.640813253012048,1.9201807228915662,1.9201807228915662,2.8802710843373496,0,106.57003012048192,389.796686746988,163.21536144578315,321.6302710843373,105.60993975903614,371.55496987951807
35001000068,35,001,000068,307.7039877300614,329.9233128834356,87.53067484662577,5.386503067484663,14.139570552147239,4.71319018404908,0.6733128834355828,0.6733128834355828,349.4493865030675,370.9953987730061,445.05981595092027,270.6717791411043,382.44171779141107,323.19018404907973
35001000069,35,001,000069,248.708,245.99200000000002,58.2,4.268000000000001,8.924000000000001,0.388,0.388,0,254.91600000000003,289.06,334.068,207.58,292.164,240.56
35001000070,35,001,000070,189.2132736293873,252.41603726342063,60.04262545233167,2.765120908988959,5.925259090690625,0.39501727271270837,0,0,198.6936881744923,289.1526436257025,261.8964518085256,216.8644827192769,219.23458635555315,253.20607180884608
35001000071,35,001,000071,114.9423076923077,339.86538461538464,41.34615384615385,9.096153846153847,3.307692307692308,0.826923076923077,1.653846153846154,0.826923076923077,138.09615384615387,341.5192307692308,163.73076923076923,305.96153846153845,126.51923076923077,347.3076923076923
35001000072,35,001,000072,58,226,23,7,0,0,0,0,68,228,86,198,55,231
35001000073,35,001,000073,165.48475016223233,251.61064243997404,49.21479558728099,4.306294613887086,4.306294613887086,0.6151849448410124,0,0.6151849448410124,165.48475016223233,296.51914341336794,241.15249837767684,219.6210253082414,179.6340038935756,270.0661907852044
35001000074,35,001,000074,159,280,26,5,1,0,1,0,130,321,201,243,149,297
35001000075,35,001,000075,78,183,25,2,2,1,1,0,87,196,118,159,82.99999999999999,189.99999999999997
35001000076,35,001,000076,155,248,34,11,1,1,0,0,151,282,214,214,165,258
35001000077,35,001,000077,141.11309523809524,244.47619047619048,35.95238095238095,8.988095238095237,0.8988095238095238,0,1.7976190476190477,0,139.3154761904762,270.5416666666667,168.97619047619048,241.7797619047619,139.3154761904762,267.8452380952381
35001000078,35,001,000078,136.21412556053812,193.62107623318386,34.30829596412556,2.7174887892376685,4.076233183856502,0.6793721973094171,0,0.33968609865470856,138.59192825112106,215.70067264573993,192.60201793721973,162.03026905829597,157.95403587443946,187.84641255605382
35001000079,35,001,000079,247.7071516646116,241.4833538840937,57.25893958076449,3.319358816276202,3.319358816276202,0.41491985203452525,0.41491985203452525,0,247.7071516646116,281.7305795314427,343.9685573366214,183.39457459926018,291.6886559802713,226.13131935881628
35001000080,35,001,000080,184.78547854785478,201.4851485148515,56.996699669967,7.260726072607261,3.9933993399339935,1.089108910891089,0.7260726072607261,1.4521452145214522,193.13531353135312,246.86468646864685,262.8382838283828,178.97689768976898,212.37623762376236,223.26732673267327
35001000081,35,001,000081,314.74438489388046,369.0514571158488,97.44501894076998,3.9394191347835172,9.888560052313768,0.8981525587864725,1.7340554081564872,0.008892815630922526,331.1067510759806,435.01670515084265,468.0259857952957,298.84444512458833,387.30792756752527,362.2575205333176
35001000082,35,001,000082,152.07457690083007,156.3213423760923,49.66345141457522,3.464131700169842,4.620090886687036,0.7698070444821872,0.7700340662628986,0.3847900113507378,164.77696068923794,189.43053700758983,233.30545215102168,123.2110126356912,195.5749180130432,153.62599612239143
35001000083,35,001,000083,333.9845828350388,397.05117306589386,84.26399384818752,11.254926304701208,7.876240340655359,2.1370575049714717,0.24217693455977282,0.12108846727988641,345.96014438352387,462.27403460421715,475.53652802270153,323.3555070090278,412.15431627585315,372.47348254745555
35001000084,35,001,000084,190.2857142857143,199.97619047619048,48.892857142857146,7.0476190476190474,3.5238095238095237,0.44047619047619047,0.8809523809523809,0.44047619047619047,193.36904761904762,236.5357142857143,259.8809523809524,167.38095238095238,220.23809523809524,203.05952380952382
35001000085,35,001,000085,394.8323992330183,368.00519881282526,83.37470264349524,12.262239307216479,4.850251123449515,1.5383779441408005,1.0106572141238916,0.5165246685394274,399.2221059953158,442.28549236978074,557.2383878441965,279.0143953436859,465.0364757490458,349.79097683564027
35001000086,35,001,000086,201.72448118042905,266.3921378267867,67.56322336186619,0.965188905169517,4.825944525847586,0,1.930377810339034,0,200.75929227525955,314.6515830852626,293.4174271715332,230.6801483355146,227.78458162000604,287.6262937405161
35001000087,35,001,000087,141.56848060631225,161.48398865617006,42.906288493471564,4.585852711880721,1.3824201426869822,1.8158860194892446,0,0,155.70824054858156,186.90354524168825,195.93683767597685,144.42046981098392,163.65644444719888,172.95118363938062
35001000088,35,001,000088,91.65827242054827,159.16335143297908,30.965632574509552,1.857937954470573,1.857937954470573,0,0.619312651490191,0.619312651490191,98.47071158694037,178.98135628066518,122.00459234356762,149.87366166062623,103.42521279886189,172.16891711427309
