GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDSMI,G18GOVRMCM,G18GOVOWRI,G18SOSDWHI,G18SOSRHAM,G18SOSOWRI,G18TREDGLE,G18TREWGLE,G18TRERLOF,G18TREAWOR,G18TREOWRI,G18ATGDANA,G18ATGWANA,G18ATGRWIL,G18ATGOWRI,G18COMRECK,G18COMOWRI,G18SPIRMIT,G18SPIOWRI,G18AGRUNEL,G18AGRGEDM,G18AGRRWEA,G18AGROWRI
45019000314,45,019,000314,386.2942179189195,373.25448159078957,0.0025363613699956678,325.2663179438495,424.2781542969095,3,290.23588160740957,24.01014544547998,420.2773088431195,15.018599983379968,0,349.2527906832096,24.021136344749962,386.2713906665895,0,545.3576269531694,22.009299991689982,441.29844518786945,16.009299991689982,30.036354512969936,165.07524538730988,461.31197244850944,0
45019000315,45,019,000315,677,753,1,569,834,1,528,11,856,12,0,626,20,771,2,967,20,868,20,38,247,876,6
45019000316,45,019,000316,186,324,0,142,361,1,123,3,375,8,0,165,14,325,0,411,1,391,7,9,63,395,0
45019000317,45,019,000317,792.6412300683371,1015.9271070615034,1.174259681093394,677.124145785877,1098.996583143508,0.17425968109339407,614.9259681093394,24.14464692482916,1090.8223234624147,48.27334851936219,0,709.3439635535308,55.41002277904328,1026.1548974943053,0,1303.371298405467,30.485193621867882,1146.610478359909,59.66742596810934,59.19817767653759,315.3610478359909,1171.9293849658313,3
45019000318,45,019,000318,347,505,0,284,564,0,237,16,560,24,1,316,28,495,0,649,8,564,21,19,135,594,0
45019000319,45,019,000319,598,541,1,531,580,0,473,29,581,30,1,553,33,544,0,738,28,612,37,53,240,634,3
45019000320,45,019,000320,380,353,3,336,389,1,310,14,388,17,0,359,19,350,0,482,7,412,14,30,135,423,1
45019000321,45,019,000321,292.3943661971831,333.6294691224269,0,255.84507042253523,353.3098591549296,0,238.03900325027084,13.120260021668471,362.68147345612135,4.685807150595883,0,260.5308775731311,13.120260021668471,335.50379198266523,0,428.2827735644637,7.497291440953413,370.17876489707476,14.057421451787649,16.868905742145177,108.71072589382449,381.42470205850486,0.9371614301191766
45019000322,45,019,000322,437.99999999999994,488,0,400,514,0,378.99999999999994,15.999999999999998,493.99999999999994,22,0,417.99999999999994,20,481.99999999999994,0,620,12,519,22,39,158,541,0.9999999999999999
45019000323,45,019,000323,566.4720358523372,437.9530748387179,0.9886073924124558,505.17837752276495,484.41762228210337,0,472.5543335731539,24.715184810311396,473.54294096556634,20.76075524066157,0,515.0644514468895,33.6126513420235,440.9188970159553,0,616.8910128653724,8.897466531712103,489.3606592441656,25.70379220272385,61.29365832957226,203.65312283696588,525.9391327634265,0.9886073924124558
