GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16PREOWRI,G16USSRAYO,G16USSDHAS,G16USSLCHA,G16USSIDAY,G16USSOWRI,G16GOVRSUN,G16GOVDVAN,G16GOVLABR,G16GOVOWRI
33013CONC05,33,013,CONC05,676.7250056295283,1794.4315705119725,75.39876638369101,22.140053255631145,0.012636012636012635,60.164853752793455,854.515300264044,1707.7289313068209,26.202851157625027,24.24410927928516,0.018954018954018954,805.4394271580202,1706.5221121402026,67.59538890192157,4.043843883039863
33013CONC06,33,013,CONC06,621.9711976352635,1134.2428093234412,98.62463410491823,31.874913455160616,2.984818362551961,45.86771740502622,599.3857476429681,1197.7732057480002,56.75509997726448,57.74668934769637,0.994939454183987,569.4554869655223,1176.8778021682604,121.49484121614155,12.940913071896018
33013CONC07,33,013,CONC07,803.2291103549918,1678.5968175431528,82.31110062227594,37.0852673390893,1.0077687664555666,65.1581291602216,910.3155000234784,1690.6985779852441,33.15336775520758,27.158237816077865,2.0034297627323285,866.2100866197671,1708.6531984834173,68.3399348048256,3.033064530416641
33013CONC08,33,013,CONC08,879.2708476235664,1059.5375304060924,70.43519342442167,17.875519365018217,0.008133020061449484,0.1247063076088921,797.1825126066818,1157.5492541647318,37.7085913666741,49.570480474047535,0.0027110066871498285,772.3945613629709,1155.5157933408539,74.45060594512155,0.03524308693294777
33013CONC09,33,013,CONC09,656.5744387563748,1033.3742176198107,52.81589163334194,13.658056628495443,2.7194244604316546,20.848920863309353,636.3510177639879,1065.435975119701,0.12863913337846988,21.92465770105649,0.9064748201438849,637.1728615753301,1042.7673341353998,48.29705849403077,3.6258992805755397
33013CONC10,33,013,CONC10,1186.8130194672617,1675.566946357856,115.34062416510943,18.384645044695393,2.2792258046318072,49.11309801725173,1349.4883255772672,1651.9490052102974,17.996035553182324,36.24297024544382,5.0878646107627485,1279.6320439100184,1679.5972731731374,62.93400805207207,5.3735308878652415
33013DANB01,33,013,DANB01,382.34352114610937,245.28566107781742,29.74524083104369,15.818756354830779,0.0022660929935203757,20.811906714737948,359.7165666499349,271.94815217152,9.912266212574886,37.58906274182784,0.002233346748517747,337.9399859238774,289.7368890937367,41.561338610919066,0.9952204484088185
33013DUNB01,33,013,DUNB01,1025.5877739931284,680.7292539025325,68.97246314881713,8.996407165884566,1.9991911926183306,40.98366083351808,1075.5683912662028,681.7285145157952,24.98996133793757,28.988351112506137,4.997973055324555,1038.5832064161257,682.7281347432107,61.97513879868292,9.995948573759746
33013EPSO01,33,013,EPSO01,1570.134490304363,938.4798096739462,129.17597048036546,21.257278117443157,2.0209103762021545,31.626121316745916,1540.8136272933316,1034.8158288031887,45.74780584671369,1.2481814520498016,0.027797235939360673,1454.2726299875335,1060.7965985590106,126.06289537497308,8.209844972035905
33013FRAN01,33,013,FRAN01,771.8527203156817,478.2296803647806,60.7906295775456,8.347923842828711,0.055462981657966884,26.195441370461854,677.7039466530663,585.7286949714253,30.62815515336891,42.13766392775262,3.9851982684089204,659.3600183181386,595.621523471594,68.80419404005316,7.1236414366552765
