GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27163000240,27,163,000240,433,1083,36,17,1,531,972,46,17,1,536,925,83,2,517,884,90,47,1,578,848,113,3
27163000245,27,163,000245,516.2848801255312,1150.3555643326201,59.06615667000192,17.724273940636905,0.004176358147481762,624.6909350132546,1024.2491054247612,62.992995656094415,21.66614781606034,2.9537672328963187,621.7604260278628,979.8942334146715,103.36550067553529,2.9537672328963187,618.8153173477598,921.7818901301317,110.26620053388766,41.35524707543695,2.952931961266822,661.1525654480746,917.8291106032691,131.925313220158,5.916722453717097
27163000250,27,163,000250,594.506957057137,932.0662697961876,30.468595579285086,11.079489301558214,0,698.2344837669117,802.4547053932539,36.02428822482576,22.174926597877995,0,706.6078927221267,757.0699254590371,78.51161187556049,0,690.8641055606346,720.9977932499266,79.53059061925975,32.315177129544786,0,732.555722394332,708.8993252046691,101.6736212276146,3.6931631005194046
27163000255,27,163,000255,871.9169031165012,1708.8768420724582,42.827112114989575,22.259678659630758,1.0924051300170114,1081.0830030971263,1474.1738480421513,58.433846983365854,22.653730704240424,0.9938921188645952,1064.9749411656474,1423.905688046688,98.27928274176165,1.9877842377291903,1059.6026665193742,1332.8879511777764,107.61836385615267,65.8836568711801,0.9938921188645952,1166.8357403382577,1261.229205608373,163.07053448292473,6.25889174664482
27163000260,27,163,000260,230.5321653821335,430.91576718194386,9.965679940375473,3.632518949452526,0.8883404285139866,280.22203992206687,374.88085806577806,7.344195134301632,7.249206451825736,0.003957861769828979,287.5108249915909,351.3882207474315,17.234675701050353,0,292.78149963612736,328.03015072925916,20.827616032804592,11.785897276871564,0,300.9309201017766,327.0864002359676,28.088696069939814,2.680852732621276
27163000270,27,163,000270,777.7403281758995,1399.9424471368393,54.286595046227234,20.669955642555465,0.008073590206013873,944.08160266301,1213.9422521561921,67.9832998863034,30.481603681522714,0.0032927936743247566,970.51773717089,1159.775829161151,80.92224551001384,0,938.1409485624125,1126.0742693737027,102.60654769152566,35.55139378066279,0,1006.0177479158133,1060.2857902861742,114.4739421429741,4.916929524204391
27163000275,27,163,000275,110.48375275143464,153.39153939837277,0.9747716398434101,0.29243149195302304,0,130.81096992692977,130.9178771473464,1.9667632076220816,1.2844230597316946,0.04873858199217051,134.47025851209403,121.84373729136185,3.5598639533041894,0.04873858199217051,131.64049955473453,117.17718467835938,9.235628062020584,0.6823401478903871,0.04873858199217051,140.6821470227243,111.55015915163516,8.666037538174058,0.09747716398434102
27163000280,27,163,000280,77.79418811233633,142.62759646741966,10.972321905055601,0.9984297697839182,4.6126492219286425e-4,99.72776441086539,126.67045174856324,5.9921668929631915,2.992367648561144,0,95.74388596635323,128.6596742639469,4.9960443966404045,4.6126492219286425e-4,87.77167239706475,115.69946133233823,15.962778816693708,4.986049690759448,0,104.71027805350475,106.73219807242812,14.970244674426993,2.9890360799341584
27163000285,27,163,000285,166.82619047046447,310.16142603774557,47.715930434150586,8.768670064379702,0,199.01271941197436,277.9741733732054,44.79304041269069,5.853740996252322,0.9735729507897377,212.6376746618191,281.8112910569763,30.24010676296066,1.945698455519017,191.22124091353555,255.51251809413947,67.20186391054992,7.829835819040964,0.9728492277595086,201.96311090858296,252.5809433963168,65.27570597684709,0.9735729507897377
27163000290,27,163,000290,48.20670827423603,59.66317524039136,9.342036103802764,4.117832325271236,0,56.76733772253377,57.049855054504825,6.339497575949374,2.1180845944821693,0,57.83673659884664,51.86793920340857,8.458510974306174,0.012365221418095635,53.68168552201425,48.52863019833583,13.648625511196812,3.2579447183270456,0.006162096157902541,59.96807418951925,47.519554217806736,11.624270424878425,0.012324192315805081
