GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
46083VTD114,46,083,VTD114,502.1672737191281,282.3874068620483,61.09600952668153,8.013475021288636,642.3373958628971,217.31497862262185,538.2093831606551,311.4581507238136,617.355924017169,189.24760351617869
46083VTD115,46,083,VTD115,473.5395735171032,370.16045460249063,63.742716386097925,8.378737483665097,630.5949873266396,286.35453678055086,536.1333935377716,380.577269147468,635.191831748859,225.61275822170947
46083VTD116,46,083,VTD116,412.1891510157016,294.78359652696366,45.311845984804414,10.612935457367099,536.2210781862378,223.7571535499985,446.3769147455057,312.90789065686437,525.3234389082027,190.692476263163
46083VTD118,46,083,VTD118,681.9375668729386,341.96869189229477,68.99368345195421,6.999359190777962,905.9170609778334,206.9810503558626,799.9267646603387,311.97143821753207,875.9198073030708,185.98297278352874
46083VTD210,46,083,VTD210,997,522,53,6,1265,349,1115,494,1267,279
46083VTD211,46,083,VTD211,1001.6302899239722,622.2852198831835,60.73503746059871,9.956563518130936,1282.4053811352646,408.2191042433684,1133.0569283633006,561.5501824225847,1365.0448583357513,292.7229674330495
46083VTD212,46,083,VTD212,443.635824750853,306.5357922516796,46.45279557394562,5.082820827821908,561.2545769990891,236.46254789812315,505.3485463048962,295.39201231521014,577.7090163158744,181.77994036911758
46083VTD213,46,083,VTD213,1001.4631737402918,709.5073550465946,92.94695675322203,22.98587051254278,1329.2376684076785,494.6721661102326,1138.3653873269316,691.5401582473381,1326.253681658504,421.70932374727875
46083VTD215,46,083,VTD215,594,328,56,4,791,206,683,314,798,159
460850VTD-1,46,085,0VTD-1,53.67164179104478,5.552238805970149,2.7761194029850746,0.9253731343283582,44.417910447761194,18.507462686567166,41.64179104477612,20.35820895522388,44.417910447761194,13.880597014925373
460850VTD-4,46,085,0VTD-4,216,92,10,3,232,86,209,114,252,63
