GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCOP,G16PREIMCM,G16PREISTE,G16PREICAS,G16PREIFUE,G16PREOWRI,G16USSRCRA,G16USSDSTU,G16USSCWRI
16061616004,16,061,616004,242.4685638793501,46.975470156580165,9.595525246301229,0.007100591715976331,2.864456390458416,0.9666531163460993,5.71471159748488,0.007100591715976331,0,247.21662236048886,48.8377704721126,17.286146626774165
16061616005,16,061,616005,211.12350604706512,43.16843915649904,10.038819136659692,1.0032408226513785,1.1035369184495996,2.012849518562569,0.2076923076923077,0.9502958579881656,0,209.3553950161563,37.760023363107486,19.861921336752797
16061616006,16,061,616006,22.324358974358976,7.062820512820513,6.012820512820513,0,0.0038461538461538464,0.001282051282051282,0.007692307692307693,0,0,26.33076923076923,6.065384615384615,3.023076923076923
16061616007,16,061,616007,22.594871794871793,7.502564102564102,4.102564102564102,0,3.0307692307692307,0.010256410256410256,1.0615384615384615,0,0,32.646153846153844,4.523076923076923,1.1846153846153846
16061616008,16,061,616008,0.1108556324555888,0.0363147761492446,0.003822608015709958,4.7782600196374475e-4,0.003822608015709958,0.0023891300098187237,0,0,0,0.11133345845755255,0.03918173216102707,0.007167390029456172
16063632601,16,063,632601,408.6992902204433,209.89840985871632,22.139360749811807,2.0108321608700988,40.236844387332816,6.0739515425059984,6.052949474781227,1.016491826597718,0,469.8253805711814,183.89672197227839,46.37975385286587
16063632603,16,063,632603,235.81324833242772,77.44431994020474,9.246902615631338,0.08173841347606399,16.32692608339592,4.170281468781383,2.19412528569211,0.10898455130141865,0,253.43517715327903,69.04204759715938,25.519336423376547
16063632604,16,063,632604,301.66537007768187,48.04935078922528,12.489156442922367,2.881420448286723,18.254331580506108,7.6851217141038095,7.684454788100869,3.841893931048964,0,295.90853151513494,65.33487231193239,28.822541057903994
16063632605,16,063,632605,200.84426406197534,24.292751791928982,10.040685961352994,1.0060182003437652,24.068059809897036,0.016778888909874543,2.0167788889098746,1.0061983804754355,0,209.90343724062163,35.287230778381044,16.088665835171174
16063632606,16,063,632606,33.51190476190476,0,0,0,2.8724489795918364,0,0,0,0,30.639455782312925,0,5.744897959183673
16065653401,16,065,653401,246.1073980096458,11.751202025362572,7.811048700065036,1.9403946838501813,55.71184919644395,2.910592025775272,0.9949323242572461,0,0,274.53004672052646,27.333723453761195,30.22947449013717
16065653402,16,065,653402,751.6940643244209,56.649646260678196,21.436162108248755,4.790990044132876,246.38844669794324,5.597920178316538,17.600098553350527,0.17428527066531896,0,903.1531617645576,89.37523561621236,115.66123487065816
16065653403,16,065,653403,575.4460594197698,45.25181229095808,30.42976460678729,4.150843245687172,202.71048432894963,2.6351191421703053,5.993619839109827,0.07267833109017496,0,725.0751937145468,68.99379557616714,69.05573016640933
16065653404,16,065,653404,484.1111092736552,34.145744243875015,17.68678238357317,1.0795580535285945,138.34944871391593,0.6359846597798603,6.724751200945212,0,0,582.4771929905638,53.19070582373352,49.51346805443797
16065653405,16,065,653405,419.04359118870207,62.24010426101423,23.674313175175463,1.576411329104398,224.82623598810667,3.950409402297492,6.37131287317307,1.585792408640895,0,624.5401237279501,64.02289933992157,47.63005873644583
16065653406,16,065,653406,578.4083590051987,51.96765006177398,18.285386547880993,1.9246096207514996,246.3634307224226,0,8.661062323530096,0,0,768.9514110927125,84.68792779543956,54.85903091497811
16065653407,16,065,653407,654.6019813331557,89.94622064483342,33.045802358371084,2.5742656029633215,330.5021623137153,6.102012197981042,12.194032647232559,2.432272184797232,0,926.8485781658588,106.8802097870486,88.47852396273834
16065653408,16,065,653408,1009.5885509838998,179.62611806797852,106.42754919499106,4.985688729874776,739.9338103756709,9.928443649373882,21.871198568872988,6.971377459749553,1,1665.194991055456,229.29695885509838,152.95527728085867
16065653409,16,065,653409,426.5,81,69,2,396,3.5,12.500000000000002,1,0,769,104.5,76.5
16065653410,16,065,653410,436.6257347303859,81.2090467671863,57.3306925632507,1.8055200613340148,308.12113467927423,6.527600306670074,5.584845387170969,0.028622540250447227,0,714.6401737797087,85.64260158446204,54.69856887298748
16065653411,16,065,653411,133.72641509433961,36.65094339622641,17.830188679245282,0,105.66037735849056,0.660377358490566,1.320754716981132,0.330188679245283,0,226.17924528301884,33.0188679245283,18.160377358490564
16065653412,16,065,653412,0,0,0,0,0,0,0,0,0,0,0,0
16065653413,16,065,653413,208.14285714285714,28.274725274725274,18.736263736263734,0.6813186813186813,104.24175824175825,3.4065934065934065,3.4065934065934065,0,0,307.27472527472526,27.934065934065934,19.076923076923077
