GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOMCM,G16PREGSTE,G16PREIHED,G16PRECCAS,G16PREIKAH,G16USSRBOO,G16USSDELD,G16USSLGIL,G16USSOWRI
050470006-C,05,047,0006-C,46.95463902783228,16.98359283985423,2.9971046187978048,0,0,0,0,0.9990348729326016,49.95174364663008,14.985523093989023,4.995174364663008,0
050470006-D,05,047,0006-D,33.7679483766546,5.892517055704551,0.10896360483797468,0.04763949598924392,1.2272619293694575,0.01359906318650017,0.006756756756756757,0.006756756756756757,30.934285056685884,8.304550285788766,1.0344170114368874,0
050470007-A,05,047,0007-A,89.88118811881188,22.02970297029703,3.5247524752475248,0.8811881188118812,0,0,0,0,79.3069306930693,29.07920792079208,6.1683168316831685,0.8811881188118812
050470007-B,05,047,0007-B,120,22,0,0,2,2,0,0,118,25,4,0
050470007-C,05,047,0007-C,242.76522637588786,42.142402972820854,5.865361233621385,0.1584820562778657,1.892594036159706,0.010997217808802822,1.8895947949391234,1.8634969672953046,210.9732842409721,69.50977445729177,15.07256068081357,0.9292491159638334
050470007-D,05,047,0007-D,183.1437718029682,40.500128513946514,9.324608632795837,5.029446604577769,0.9689034369885434,0.09937888198757763,1.203522297617385,0,179.13272724218666,51.72687375825186,6.517277203817785,0
050470008-A,05,047,0008-A,54.74423814337707,26.95100954750871,2.5266571450789415,0.8422190483596472,0,0,0.8422190483596472,0,61.48199053025425,21.05547620899118,2.5266571450789415,0
050470008-B,05,047,0008-B,215.41744062532828,57.838111729408254,3.9911759966535247,1.994527366387142,0.9967333672237607,0.0021212638792411204,0.0021212638792411204,0,192.48727001948367,75.79097929077177,8.97696409665157,0.9967333672237607
050470008-C,05,047,0008-C,139.99489748250554,31.23033216632538,4.659553478570245,1.320842758854687,0.2559840240805872,1.905525615257303,2.088055398375112,0.18252978311780876,133.95896848788453,42.56638664470785,7.501016760694934,0.0032666327762393677
050470008-D,05,047,0008-D,155.7445860640419,38.48002828903229,4.457713052134473,4.101277408570116,1.069300592371815,0.9956163818454994,1.9912327636909988,0.0736842105263158,152.5486633576724,46.326153800929426,8.796614223080827,0.11881188118811882
