GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTru,G16PREDCli,G16PREIDeL,G16PRELJoh,G16PRESKen,G16PREISmi,G16PREGSte,G16PREOth
47037001827,47,037,001827,332,1642,2,105,0,3,33,26
47037001828,47,037,001828,119.38,863,6.01,31.09,4.01,1.02,11.08,7.08
47037001829,47,037,001829,357,1387,4,99,3,8,41,17
47037001830,47,037,001830,178.01,1170.17,2.81,46.84,2.81,1.87,30.92,19.67
47037001831,47,037,001831,291,1029,2,58,1,1,21,5
47037001832,47,037,001832,321,902,3,36,2,1,24,21
47037001833,47,037,001833,152.99,1328.83,1.19,69.16,2.19,4.13,15.08,6.33
47037001834,47,037,001834,329.29,1136.74,0.99,76.9,0,0.99,29.58,32.53
47037001835,47,037,001835,396,851,0,62,0,8,12,14
47037001836,47,037,001836,358.77,725.8,4.13,37.77,4,3.14,13.46,0.14
47037001837,47,037,001837,126.06,824.84,0,18.86,2.98,0,15.88,11.91
47037001838,47,037,001838,218.53,776.53,0,30.52,1.98,0,12.86,6.95
47037001839,47,037,001839,767.25,1546.16,5.98,77.23,1.03,4.98,32.48,21.47
47037001840,47,037,001840,615.24,969.81,4.68,37.59,4.64,3.74,15.05,15.9
47037001841,47,037,001841,454.23,1173.15,1.05,51.03,0.01,4.2,13.42,5.29
47037001842,47,037,001842,304,645,1,23,1,2,14,0
47037001843,47,037,001843,795.48,1651.61,3.98,43.75,2.98,2.98,19.89,8.95
47037001844,47,037,001844,520,192,2,17,0,3,0,2
47037001845,47,037,001845,168,52,0,8,0,0,3,0
47037001846,47,037,001846,869.25,726,4.94,52.43,2.97,2.98,5.95,11.86
47037001847,47,037,001847,869,1237,3,41,4,3,17,28
47037001848,47,037,001848,248.73,507.89,0.95,18.99,0,3.8,7.59,4.75
47037001849,47,037,001849,351.94,445.38,1.01,27.21,1.99,2.02,9.03,7.03
47037001850,47,037,001850,1421.41,1196.42,8.06,112.62,2.03,10.1,22.22,32.96
47037001851,47,037,001851,1717.99,920.99,4,95,7,4,12,19
47037001852,47,037,001852,521.1,519.14,2.93,31.29,0.98,4.89,8.8,0
47037001853,47,037,001853,521.99,558.42,1.06,45.1,2.03,4.28,12.58,5.28
47037001854,47,037,001854,939,807,6,72,1,8,15,26
47037001855,47,037,001855,1716.21,1320.02,1.86,131.44,1.86,13.98,15.85,30.76
47037001856,47,037,001856,602,788,8,54,3,5,11,5
47037001857,47,037,001857,793.55,839.09,1.94,66.86,0.97,8.72,18.41,8.72
47037001858,47,037,001858,124.79,95.98,0.14,9.56,0.14,1.02,1.15,2.24
47037001859,47,037,001859,347.96,829.9,4,46.99,2,0,27,7
47037001860,47,037,001860,176,263,1,24,1,3,5,0
47037001861,47,037,001861,1213.04,1640.1,10,129.01,5,5,28,12
47037001862,47,037,001862,111.18,119.86,0.02,11.41,0.01,0.02,3.11,0.05
