GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16DELDNOR,G16DELLMOU,G16DELGSTR,G16DELOWRI,G16COUDWHI,G16COURCEL,G16COULKLO,G16COUGAIK,G16COUIGRO,G16COUICHE,G16COUOWRI,G16HALDGAR,G16HALOWRI
1100102-108,11,001,02-108,912.0067415730337,18.85393258426966,4.683146067415731,10.024719101123596,17.68314606741573,893.7617977528089,19.134831460674157,28.30561797752809,9.42696629213483,833.514606741573,43.757303370786516,19.61123595505618,92.62471910112359,273.68764044943816,121.10112359550561,12.42696629213483,837.7348314606742,23.68314606741573
1100102-109,11,001,02-109,730,21,6,23,12,717,24,34,8,692,35,30,66,253,116,13,698,17
1100102-110,11,001,02-110,2614,53,14,29,37,2597,51,53,12,2359,94,61,208,585,293,22,2361,48
1100102-111,11,001,02-111,1572.6417099137902,31.008980995415918,11.002843269263087,26.003562377832093,12.008460265514309,1530.6222450275402,39.01649667168877,45.012722635697095,8.000418678775286,1368.5652199032438,56.01974160742547,45.020494401175185,142.06366661319316,352.1082664097943,164.06263940578262,14.00771756146798,1408.568348218892,23.005585301846274
1100102-112,11,001,02-112,1407,15,6,18,20,1377,26,31,3,1246,42,47,92,254,145,23,1231,11
1100102-113,11,001,02-113,1669,36,8,25,22,1633,27,49,10,1474,57,45,141,426,185,29,1470,30
1100102-114,11,001,02-114,1681.836302895323,30.22327394209354,14.22271714922049,27.556514476614698,24.000835189309576,1638.279231625835,40.89031180400891,46.22383073496659,7.111358574610245,1467.6066258351893,59.5576280623608,69.33574610244989,161.78340757238308,313.78869710467706,165.3390868596882,21.334075723830736,1530.7199331848553,17.77839643652561
1100102-115,11,001,02-115,1493,18,14,20,4,1424,29,29,2,1301,33,50,103,228,111,15,1266,14
1100102-116,11,001,02-116,2251,31,9,13,29,2134,55,51,5,1936,87,80,163,349,237,30,1974,21
1100102-117,11,001,02-117,1405,29,5,13,10,1313,44,45,8,1233,46,51,131,225,133,34,1235,28
1100102-118,11,001,02-118,1698,24,9,20,13,1615,45,44,9,1483,54,64,153,290,219,17,1515,12
1100102-119,11,001,02-119,1759.0756988992573,36.86111015227,7.795366685848744,21.467583031558522,14.112729167075956,1680.4630068371268,56.27847779259681,46.90476780417892,8.887624874620002,1492.6101648599952,66.60260648421655,79.7701941231625,132.89590264863335,313.27534936724885,200.11497789494624,20.727714280635585,1560.4590793825216,20.283393567940706
1100102-120,11,001,02-120,1264,17,9,17,14,1207,23,41,4,1119,41,61,134,252,165,31,1103,19
1100102-121,11,001,02-121,2235.663006177734,25.160146470694833,10.945786378685618,32.98898113887773,20.296641510193787,2158.5760346482393,41.575925821164994,55.72317556443857,6.385525423826321,1982.898274491605,65.68051870723023,62.48485577775881,165.63590535975737,309.1267029998878,213.3670233829591,16.797734575080614,1937.2782636376623,15.354425330724041
1100102-122,11,001,02-122,915.4301833568406,13.077574047954867,5.721438645980254,17.98166431593794,8.173483779971791,894.1791255289139,26.97249647390691,17.98166431593794,2.4520451339915375,826.3392101551481,23.703102961918194,27.789844851904093,77.64809590973202,190.44217207334273,111.15937940761637,10.625528913963329,825.5218617771509,8.173483779971791
