GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREICAS,G16PRENROC,G16PREONON,G16USSDCOR,G16USSRHEC,G16USSIJON,G16USSNSAW,G16USSNGUM,G16USSNWIL,G16USSONON
32003001683,32,003,001683,595.4764325323475,416.73475046210723,32.58826247689464,4.937615526802218,1.9750462107208873,23.70055452865065,566.8382624768947,381.18391866913123,18.76293900184843,18.76293900184843,12.837800369685768,6.912661737523106,54.3137707948244
32003001684,32,003,001684,133,194,6,2,0,11,140,178,4,2,7,1,7
32003001685,32,003,001685,1.5232974910394266,2.28494623655914,0,0,0,0.7616487455197133,2.28494623655914,1.5232974910394266,0,0,0,0,0.7616487455197133
32003001686,32,003,001686,305.05554015283724,450.13081331998455,35.771985164502084,0.9936662545695024,0.9936662545695024,11.923995054834029,296.1125438617117,425.28915695574705,7.949330036556019,14.904993818542536,17.885992582251042,2.980998763708507,26.828988873376563
32003001687,32,003,001687,509,419,45,2.9999999999999996,0,21,489,405,22,13,9,5,42
32003001688,32,003,001688,412,349,27,0,1,22,401,335,14,5,13,4,25
32003001689,32,003,001689,386,361,6,2,1,17,370,331,13,0,4,5,29
32003001691,32,003,001691,1.6719038817005545,1.1700554528650646,0.09149722735674676,0.013863216266173753,0.005545286506469501,0.066543438077634,1.5914972273567467,1.0702402957486137,0.05268022181146026,0.05268022181146026,0.036044362292051754,0.019408502772643253,0.15249537892791126
32003001692,32,003,001692,39.47670250896057,117.71505376344086,1,0,0,6.238351254480287,43.715053763440864,107.47670250896057,2,1,1,1,7.238351254480286
32003001693,32,003,001693,138,270,9,3,3,6,149,251,8,1,0,3,7
32003001694,32,003,001694,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001695,32,003,001695,300.00087437032863,164.0020824697903,14.000080094991935,0,0,6.000046722078628,267.0009210924072,163.00191560522376,7.000040047495967,2.000026698330645,4.000026698330645,5.000020023747984,24.000086769574594
32003001702,32,003,001702,499,431,46,4,2,22,481,410,19,14,15,6,37
32003001703,32,003,001703,658,332,38,2,2,16,596,322,21,7,16,11,54
32003001704,32,003,001704,368.216059107929,349.61116250347334,19.188116550868298,6.028035369313426,0.0035125297037193063,21.15188527891286,341.22184845578556,348.4405112986492,12.119198970819307,5.012879275580304,9.046736426908431,3.074771796221857,29.183498046246335
32003001711,32,003,001711,0,0.9921820861991533,0,0,0,0,0,0.9921820861991533,0,0,0,0,0
