GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
32005000024,32,005,000024,112.48324964042219,366.41835500799874,5.121816861449891,1.0325600936014536,6.113393348493967
32005000025,32,005,000025,436.14401349684954,916.4381255678802,27.003380598517595,2.001352239407038,18.004056718221115
32005000026,32,005,000026,216.99999999999997,349,7,1,12
32005000027,32,005,000027,318,497,5,1,13
32005000028,32,005,000028,222,608,8,0,16
32005000029,32,005,000029,206.33239038189532,515.6322489391796,3.1782178217821784,0.05091937765205092,10.305516265912306
32005000030,32,005,000030,0.38949390009261264,3.184939189014145,0.009143049297948654,0.0036572197191794614,0.010971659157538385
32005000031,32,005,000031,267,429,7,0,9
32005000032,32,005,000032,140,388,4,1,9
32005000033,32,005,000033,157.0170253322626,343.0456388745491,11.000823806399804,2.000109840853307,13.00060412469319
32005000034,32,005,000034,197.88042203985933,356.27901524032825,7.331770222743259,1.249706916764361,10.832356389214537
32005000035,32,005,000035,166.4424635791622,304.9719479243429,3.292088505942596,0.08757062146892655,11.574757666798934
32005000036,32,005,000036,150.55084745762713,255.48022598870057,3.6497175141242937,0.9124293785310734,8.211864406779661
32005000037,32,005,000037,229,301,5,0,9
32005000038,32,005,000038,349.98784800387295,298.4325980195429,8.923267830892296,1.9828450238074313,3.9658063535545764
32005000039,32,005,000039,138.01215199612702,126.56740198045709,4.0767321691077045,0.017154976192568703,1.0341936464454238
32005000040,32,005,000040,308.1752873563218,316.485632183908,7.617816091954023,2.0775862068965516,8.310344827586206
32005000041,32,005,000041,651.8247126436781,482.5143678160919,20.382183908045977,1.9224137931034482,11.689655172413794
32005ZZZZZZ,32,005,ZZZZZZ,3.0066889632107023,5.547826086956522,0.05819397993311037,0,0.21337792642140468
32007000001,32,007,000001,134,361,12,4,7
32007000002,32,007,000002,144.53577352047924,276.3560294153055,12.032530393494927,3.7002198018656487,6.486744715650833
32007000003,32,007,000003,168,347,19,0,12
32007000004,32,007,000004,154,323,15,0,9
32007000005,32,007,000005,124,337,13,2,8
32007000006,32,007,000006,136.33340911932203,516.1366219976887,21.02576343194761,1.0075774799845916,4.015154959969183
32007000007,32,007,000007,104,341,6,1,6.999999999999999
32007000008,32,007,000008,188,524,20,1,6
32007000009,32,007,000009,131,279,17,5,8
32007000010,32,007,000010,235.906024027324,717.2984980344953,9.574903303878116,4.994517627930032,7.34562417148783
32007000011,32,007,000011,177.4263959390863,331.5837563451777,20.36040609137056,0.9695431472081218,12.604060913705585
32007000012,32,007,000012,222.86653524848407,750.0051552714871,17.199893237598335,5.081113871286039,10.103497430789947
32007000013,32,007,000013,89.42926173478095,451.5816744003875,2.593693879343604,1.1790403404843743,5.269623866228784
32007000014,32,007,000014,294.41478913922583,936.2322357019063,23.186597342576544,3.0548815713460424,17.10976314269208
32007000015,32,007,000015,67,376,5,3,3
32007000016,32,007,000016,30.831852990164336,339.98596654005627,4.980029059184732,0,2.9816849816849818
32007000017,32,007,000017,2.374919344129612,10.935503200577756,1.0250141684809742,0,0.02335824598072437
32007000018,32,007,000018,52.04753772708089,159.67387421670256,0.6883879752539477,0.6844181459566075,4.790927021696253
32007000019,32,007,000019,75.98422376175601,263.53058800879245,2.3155820126244024,0.3155818540433925,6.209072978303747
32007000020,32,007,000020,320.94444444444446,315.05555555555554,12.75925925925926,4.907407407407407,17.666666666666668
32007000021,32,007,000021,100,96,7,0,7
32007000022,32,007,000022,203,1264,24,3,13
32007000023,32,007,000023,264,1270,23,1,11
32007000024,32,007,000024,101,741,8,0,6.999999999999999
32007000025,32,007,000025,123,695,3,1,1
32007000026,32,007,000026,98.81285069798432,513.3917321570485,8.977091745402294,1.9944289693593316,3.9910193220039654
32007000027,32,007,000027,42.06818823901925,385.4928269358693,1.0440773467223012,0.018677190535819243,1.069468249806082
32007000028,32,007,000028,NA,NA,NA,NA,NA
32007000029,32,007,000029,98.0793388429752,29.158677685950412,1,1.006611570247934,3
32007000030,32,007,000030,3.9921722113502933,37.52641878669276,0,0.7984344422700587,0
32007000031,32,007,000031,NA,NA,NA,NA,NA
32007000032,32,007,000032,75,750,10,3,6
32007000033,32,007,000033,NA,NA,NA,NA,NA
32007000034,32,007,000034,9.701002639565926,110.58442072899521,1.940045574525724,4.557452572391146e-5,0.9700911490514479
32007000035,32,007,000035,11.106692531522793,97.47041707080504,0.004849660523763337,1.0048496605237633,0.009699321047526674
32007000036,32,007,000036,21.860047944376326,96.44735816652974,0.996164797933595,0.9921949686362548,1.9843899372725096
32007000037,32,007,000037,27.50776720135042,112.83026332849145,2.4537794142858633,0.09550238890685059,0.4263803402920674
