GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10003002-16,10,003,002-16,589.3762552064622,69.54022627599342,8.482840067614775,11.89080231123115,599.5471911638454,74.6362844093782,517.9043594827571,145.28531249758555,549.2506251450976,93.56540445639907,12.75603056550173,571.2805929496324,85.10374469817066
10003002-17,10,003,002-17,1187.7929952953475,113.07631991636174,12.78254051228437,12.78254051228437,1204.5086251960272,111.10977522216415,1120.9304756926294,191.73810768426554,1145.5122843700992,149.45739675901726,17.698902247778356,1160.2613695765813,135.69158389963408
10003002-18,10,003,002-18,501.18888888888887,178.71851851851852,5.8277777777777775,8.741666666666667,513.8157407407408,170.94814814814816,478.8490740740741,201.05833333333334,432.22685185185185,233.11111111111111,19.425925925925927,458.45185185185187,219.51296296296297
10003002-19,10,003,002-19,395.16130376508687,198.0758414862591,10.89417128174425,7.923033659450364,409.02661266912503,191.14318703424001,399.1228205948121,202.03735831598428,351.5846186381099,227.78721770919796,19.80758414862591,375.353719616461,223.82570087947278
10003002-21,10,003,002-21,497,303,14,5,506,291,523,287,422,361,23,454,349
10003002-22,10,003,002-22,518,319,4,11,524,305,520,316,387,449,10,444,395
10003002-23,10,003,002-23,694.3316782522344,301.1559086395233,23.23733862959285,14.871896722939423,713.8510427010923,295.57894736842104,673.8828202581926,342.98311817279045,538.1767626613704,462.8877855014896,24.166832174776562,606.9592850049652,407.1181727904667
10003002-24,10,003,002-24,595.3065134099617,239.07509578544062,12.382375478927203,16.192337164750956,617.2137931034482,220.02528735632185,596.2590038314177,246.69501915708813,543.872030651341,276.22222222222223,25.717241379310344,575.304214559387,271.45977011494256
10003002-25,10,003,002-25,580.6440217391304,320.2899456521739,11.065760869565217,12.041847826086956,600.7277173913044,301.30190217391305,563.6619565217391,337.3766304347826,486.4078804347826,408.48722826086953,18.11358695652174,508.5125,392.4902173913043
10003002-26,10,003,002-26,493,111,8,7,511,110,499,117,464,136,15,483,131
10003002-27,10,003,002-27,510,228,11,10,531,207,523,218,438,286,17,477,261
10003003-01,10,003,003-01,542,20,8,4,557,17,478,83,537,18,14,531,21
10003003-02,10,003,003-02,151,19,4,4,156,22,152,28,126,45,9,118,58
10003003-03,10,003,003-03,319,25,3,4,325,18,280,59.99999999999999,302,32,6,308,29.999999999999996
10003003-04,10,003,003-04,843,262,18,10,879,234,862,263,592,520,16,644,480
10003003-05,10,003,003-05,521,95,5,9,536,86.99999999999999,501.99999999999994,121,502.99999999999994,111.99999999999999,11,515,107
10003003-06,10,003,003-06,185,84,2,2,191,74,184,90,135,133,6,163,108
10003003-07,10,003,003-07,668,313,9,11,689,294,662,322,541,430,18,597,387
10003003-08,10,003,003-08,539.0872292457407,223.9732912873491,6.787069432949973,9.695813475642819,553.6309494592049,209.42957107388486,520.6651836420193,246.2736622813276,479.9427670443195,282.14817214120603,10.6653948232071,504.18230073342653,262.75654518992036
10003003-09,10,003,003-09,700.4893824107226,478.16284075094137,12.96161398574833,10.824318548978363,704.954280471226,461.42893886990123,696.4289497387786,489.3353046012125,569.5066142790478,609.9073206081158,14.467504359341484,639.7467918085655,542.7085026771315
